"gene_ID"	"TPM_RAP"	"TPM_T7RAP"
"3"	"ENSG00000225630.1"	216.812532718366	211.83616710923
"4"	"ENSG00000237973.1"	27.8216989489543	29.4252003807974
"6"	"ENSG00000248527.1"	501.438676991816	415.081959556681
"11"	"ENSG00000187634.13"	12.1606262358815	9.12751823892641
"12"	"ENSG00000188976.11"	40.5055904988284	37.0119470493761
"13"	"ENSG00000187961.14"	11.4715625776913	11.623933483761
"18"	"ENSG00000187608.10"	27.0077895427723	21.9607878274515
"19"	"ENSG00000188157.15"	63.1035082681835	57.7081147139157
"23"	"ENSG00000207730.3"	287.561885500149	246.672104244865
"24"	"ENSG00000078808.19"	66.6342058818251	61.7460210351553
"25"	"ENSG00000176022.7"	13.2174485186598	15.6643381706298
"27"	"ENSG00000160087.21"	17.0547483634784	18.4208743377274
"29"	"ENSG00000131584.19"	17.0322467416289	17.4939731677046
"30"	"ENSG00000169972.12"	7.14185244009259	9.529829159521
"31"	"ENSG00000127054.21"	19.0001245809669	17.4698552406865
"32"	"ENSG00000224051.7"	8.40095527949834	8.02529106276101
"33"	"ENSG00000107404.20"	37.1965859841401	35.4646749566371
"34"	"ENSG00000162576.17"	16.1621711303034	12.9397293778366
"35"	"ENSG00000175756.13"	70.1490519280514	69.32572432436
"36"	"ENSG00000221978.12"	48.6618766010742	53.3985569109627
"37"	"ENSG00000224870.7"	14.6715247704158	9.27338737762649
"38"	"ENSG00000242485.6"	28.2083526485767	23.289876123589
"40"	"ENSG00000235098.9"	14.0222931523603	11.0787868302109
"43"	"ENSG00000179403.12"	29.2793232733194	30.6513831409895
"45"	"ENSG00000160072.20"	10.409032601233	10.2900394774278
"46"	"ENSG00000197785.14"	16.9222700476955	21.4611738423266
"47"	"ENSG00000160075.12"	32.150550450794	35.3506010066915
"51"	"ENSG00000197530.12"	5.7869433849775	7.51770307436121
"52"	"ENSG00000248333.9"	12.8596545193988	13.429140345709
"53"	"ENSG00000189339.12"	5.30373366493758	6.40401535113374
"57"	"ENSG00000008130.15"	19.2679001248817	19.7210361618566
"58"	"ENSG00000078369.18"	82.7110924255198	105.903326662709
"63"	"ENSG00000067606.17"	11.4111859325456	12.9426721363046
"65"	"ENSG00000162585.17"	4.82644241943597	5.23268680278504
"66"	"ENSG00000157933.10"	40.8137179911062	38.2365298994067
"68"	"ENSG00000116151.14"	2.06542767342185	1.55026792162359
"69"	"ENSG00000157916.20"	19.8938551729631	22.3978834327629
"70"	"ENSG00000157911.11"	13.4146305277889	15.8776415592568
"72"	"ENSG00000157881.16"	10.0027864069593	11.5505963639896
"73"	"ENSG00000157873.18"	5.33831952138881	5.42101049822004
"74"	"ENSG00000157870.17"	19.1021424554597	18.6824300252201
"78"	"ENSG00000130762.15"	7.69676346426958	11.2789707695547
"79"	"ENSG00000162591.16"	3.89354066072224	3.247124751034
"81"	"ENSG00000158109.15"	31.6956263990615	28.0601076517612
"82"	"ENSG00000116213.16"	6.13459615760638	4.60450286283642
"84"	"ENSG00000227372.12"	7.44238464026554	6.4919566658094
"86"	"ENSG00000130764.10"	28.994889605051	25.0111782345196
"88"	"ENSG00000116198.14"	9.03005500173255	8.9959562628215
"89"	"ENSG00000169598.17"	4.53793673131464	4.16299013139347
"90"	"ENSG00000198912.12"	9.59072436354026	8.69831106894586
"92"	"ENSG00000131697.18"	4.44591659709569	5.2279892223614
"93"	"ENSG00000069424.15"	2.25207778229015	1.69036368971537
"94"	"ENSG00000116251.11"	31.7898761799277	31.3958332037274
"95"	"ENSG00000158286.13"	6.5093072749411	5.10783309112044
"96"	"ENSG00000116237.16"	41.331268966271	36.9882559572875
"98"	"ENSG00000097021.20"	21.1856817684804	16.3200026112004
"99"	"ENSG00000187017.17"	16.279652197783	13.2725523581839
"101"	"ENSG00000171680.23"	3.0950887871836	2.11191870072658
"102"	"ENSG00000162408.11"	17.9807395446534	21.1504112213118
"105"	"ENSG00000204859.13"	3.89397231711478	4.221730165499
"106"	"ENSG00000162413.16"	23.7516700094312	25.892349733716
"107"	"ENSG00000116273.6"	25.788274816722	24.1951919430708
"109"	"ENSG00000007923.16"	38.0051085288342	37.4581999732451
"111"	"ENSG00000171735.19"	5.51719259265155	4.28898848325382
"113"	"ENSG00000049245.13"	69.9702355863882	68.5952430391867
"114"	"ENSG00000049246.14"	3.61398838337813	2.53174696448381
"115"	"ENSG00000116288.13"	84.662716155357	92.2640627709789
"116"	"ENSG00000116285.13"	181.63691721632	189.604462755217
"119"	"ENSG00000142599.19"	25.4422870026654	25.4273544957271
"122"	"ENSG00000074800.16"	517.382207581577	505.427169117521
"126"	"ENSG00000180758.12"	12.8763099182288	15.7396474887578
"127"	"ENSG00000228526.7"	12.5572875764257	13.6329424425723
"128"	"ENSG00000049239.13"	16.3272256992376	17.5967549155584
"129"	"ENSG00000171621.14"	6.33356174066635	4.32167488626109
"130"	"ENSG00000171612.7"	11.1070844704364	13.6419566060388
"132"	"ENSG00000188807.13"	10.0626358115959	13.8468171968137
"133"	"ENSG00000171608.16"	9.55166534476933	10.8695616754828
"134"	"ENSG00000171603.18"	63.6661873408826	69.8633666740071
"135"	"ENSG00000178585.15"	36.2328221793496	37.2843149479126
"136"	"ENSG00000162441.12"	25.7363108997072	24.9513193923267
"137"	"ENSG00000173614.14"	5.07933916129795	4.44785654346082
"139"	"ENSG00000130939.20"	24.2937069788361	25.2109866205118
"140"	"ENSG00000054523.18"	26.5174225480107	27.5711545088506
"143"	"ENSG00000142657.21"	104.795976660452	106.781156737412
"145"	"ENSG00000160049.12"	21.795795741952	21.4441834020418
"146"	"ENSG00000142655.13"	11.313887280324	12.9877237697138
"149"	"ENSG00000120948.19"	61.5008881397661	53.7365032329936
"151"	"ENSG00000116649.10"	78.2997742235283	90.4751992701185
"152"	"ENSG00000171824.14"	33.2221507320081	34.9591109181114
"153"	"ENSG00000198793.13"	22.7810915739597	25.4077033297106
"155"	"ENSG00000120942.14"	9.5840510533659	9.49554330559492
"156"	"ENSG00000116661.11"	63.5425917894169	55.5655625274948
"157"	"ENSG00000132879.14"	16.0442503656064	12.8730037390333
"159"	"ENSG00000116670.15"	12.9148259561482	12.3373156831254
"160"	"ENSG00000177674.16"	17.6299307918836	13.8341516369361
"161"	"ENSG00000177000.13"	4.40668224234324	4.07085032628544
